,nonprofit,org_years,regionality,org_small_med_large,global_north_south_int,collects_data,tech_person,merl_person,cloud_storage,data_use_policy,org_agreements,[D] Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.,"[D] Our staff uses software to collect data about people, relationships, prospects, etc.",[D] We also retained the original audio or video that accompanies the transcripts and tabular data.,"[D] We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.","[D] We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.",[U] Ask,[U] Assist,[U] Generat,[U] Interpret,[U] Organi,[U] Predict,[U] Translat,[U] Other,[U] I am not currently using AI,[W] Ask,[W] Assist,[W] Generat,[W] Interpret,[W] Organi,[W] Predict,[W] Translat,[W] Other,[W] We don't know yet!,cluster3,cluster2,ai_want_2+
650,1.0,0.26,0.25,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
651,1.0,0.21333333333333335,0.25,0.5,1.0,0.8820960698689956,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1
652,1.0,0.14666666666666667,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
653,1.0,1.0,0.4983480176211454,1.0,0.3737704918032787,1.0,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
654,1.0,0.19333333333333333,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1
655,1.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1
656,0.0,1.0,0.4983480176211454,0.0,1.0,1.0,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
657,1.0,0.013333333333333334,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
658,1.0,0.08666666666666667,0.25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
659,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0
660,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1
661,1.0,0.09333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
662,1.0,0.26,0.25,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
663,1.0,0.23333333333333334,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
664,1.0,0.16,0.25,0.0,1.0,1.0,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
665,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
666,1.0,0.20666666666666667,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
667,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1
668,1.0,0.12666666666666668,0.4983480176211454,1.0,0.3737704918032787,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
669,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
670,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0
671,1.0,0.12,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0
672,1.0,0.16,0.25,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
673,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
674,1.0,0.24,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
675,1.0,0.12,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
676,1.0,0.10666666666666667,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
677,1.0,0.07333333333333333,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,-1,0,1
678,1.0,0.18,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1
679,1.0,0.04666666666666667,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
680,1.0,0.06,0.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1
681,1.0,0.12,0.75,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1
682,1.0,0.18,0.25,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
683,1.0,1.0,1.0,0.5,1.0,0.8820960698689956,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0
684,1.0,0.06,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,-1,0,0
685,1.0,0.13333333333333333,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1
686,1.0,0.04,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
687,1.0,0.20666666666666667,0.25,0.5,1.0,0.0,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
688,1.0,0.22,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1
689,1.0,0.11333333333333333,0.75,0.0,1.0,0.0,0.0,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
690,1.0,0.32,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
691,1.0,0.16,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,-1,0,1
692,1.0,0.08,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1
693,1.0,0.08,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
694,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
695,1.0,0.21333333333333335,0.5,0.0,1.0,1.0,0.0,0.4296875,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
696,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
