,nonprofit,org_years,regionality,org_small_med_large,global_north_south_int,collects_data,tech_person,merl_person,cloud_storage,data_use_policy,org_agreements,[D] Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.,"[D] Our staff uses software to collect data about people, relationships, prospects, etc.",[D] We also retained the original audio or video that accompanies the transcripts and tabular data.,"[D] We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.","[D] We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.",[U] Ask,[U] Assist,[U] Generat,[U] Interpret,[U] Organi,[U] Predict,[U] Translat,[U] Other,[U] I am not currently using AI,[W] Ask,[W] Assist,[W] Generat,[W] Interpret,[W] Organi,[W] Predict,[W] Translat,[W] Other,[W] We don't know yet!,cluster3,cluster2,ai_want_2+
737,1.0,0.3333333333333333,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
738,1.0,0.16666666666666666,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1
739,1.0,0.28,0.25,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
740,1.0,0.13333333333333333,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1
741,1.0,0.16666666666666666,0.25,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
742,1.0,0.20666666666666667,0.25,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1
743,1.0,0.22,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
744,1.0,0.18666666666666668,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1
745,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
746,1.0,0.13333333333333333,0.25,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1
747,1.0,0.3333333333333333,0.25,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1
748,1.0,0.3,0.5,0.5,1.0,1.0,0.292358803986711,0.4296875,0.6755260243632336,1.0,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0
749,1.0,0.14666666666666667,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1
750,1.0,0.05333333333333334,0.25,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1
751,1.0,0.26666666666666666,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1
752,1.0,1.0,0.25,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
753,1.0,0.2733333333333333,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
754,1.0,0.14,0.5,0.5,1.0,0.8820960698689956,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0
755,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
756,1.0,0.09333333333333334,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0
757,1.0,0.17333333333333334,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
758,1.0,0.13333333333333333,0.4983480176211454,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
759,1.0,0.09333333333333334,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1
760,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
761,1.0,0.07333333333333333,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,-1,0,1
762,1.0,0.19333333333333333,0.25,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1
763,1.0,0.22,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
764,1.0,0.17333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
765,1.0,0.12666666666666668,0.5,0.0,1.0,0.8820960698689956,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
766,1.0,0.04666666666666667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1
767,1.0,0.18,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
768,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
769,1.0,0.04666666666666667,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
770,1.0,0.19333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
771,1.0,0.12666666666666668,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1
772,1.0,0.13333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
773,0.0,0.14,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
774,1.0,0.26,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
775,1.0,0.17333333333333334,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
776,1.0,0.04666666666666667,0.25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1
777,1.0,0.04666666666666667,0.4983480176211454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1
778,1.0,0.15333333333333332,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1
779,1.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1
780,1.0,0.10666666666666667,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
781,1.0,0.02666666666666667,0.75,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1
782,1.0,0.04666666666666667,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
783,1.0,0.02666666666666667,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
784,1.0,0.04666666666666667,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
785,0.0,0.06,0.25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
786,1.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
787,1.0,0.04,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
788,1.0,0.04,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
789,1.0,1.0,0.25,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,-1,0,1
790,1.0,0.16,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1
791,1.0,0.04,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
792,1.0,0.20666666666666667,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1
793,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
794,1.0,0.10666666666666667,0.75,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1
795,1.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
796,1.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1
797,1.0,0.06666666666666667,0.25,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1
798,1.0,0.06666666666666667,0.75,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
799,1.0,0.09333333333333334,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
800,1.0,0.05333333333333334,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
801,1.0,1.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
802,1.0,0.21333333333333335,0.75,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
803,1.0,0.12666666666666668,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
804,1.0,0.2,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
805,1.0,0.09333333333333334,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1
806,1.0,0.02,0.25,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
807,1.0,0.08666666666666667,0.25,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1
808,1.0,0.28,0.75,0.5,1.0,1.0,0.0,0.4296875,0.0,1.0,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
809,1.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1
810,1.0,0.03333333333333333,0.75,0.5,1.0,1.0,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
811,1.0,0.14,0.25,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1
812,1.0,0.16,0.25,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
813,1.0,0.02,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,-1,0,1
814,1.0,0.04666666666666667,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1
815,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
816,1.0,0.18,0.75,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1
817,1.0,0.13333333333333333,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1
818,1.0,0.02666666666666667,0.75,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1
819,1.0,0.1,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1
820,1.0,1.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1
821,1.0,0.06,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1
822,1.0,0.03333333333333333,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
823,1.0,0.2,0.75,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,1
824,1.0,0.02,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
825,1.0,0.18666666666666668,0.75,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1
826,1.0,0.04666666666666667,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1
827,1.0,0.006666666666666667,0.4983480176211454,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
828,1.0,0.03333333333333333,0.25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
829,1.0,0.08,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1
830,1.0,0.06,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
831,1.0,0.04666666666666667,0.75,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
832,1.0,0.006666666666666667,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1
833,1.0,0.06,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
834,1.0,0.006666666666666667,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
835,1.0,0.07333333333333333,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.7180910099889012,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
836,1.0,0.013333333333333334,0.25,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
837,1.0,0.14666666666666667,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
838,1.0,0.006666666666666667,0.75,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
839,1.0,0.07333333333333333,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
840,1.0,0.06666666666666667,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
841,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1
842,1.0,0.15333333333333332,0.75,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1
843,1.0,0.24,0.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
844,1.0,0.44666666666666666,0.75,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1
845,1.0,0.9466666666666667,0.25,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
846,1.0,0.36,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1
847,1.0,0.06666666666666667,0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,-1,0,1
848,1.0,0.2,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1
849,1.0,0.03333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1
850,1.0,0.38,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.28888888888888886,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
851,1.0,0.88,0.25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1,0,1
852,1.0,0.4266666666666667,0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
853,1.0,0.5133333333333333,0.25,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1
854,1.0,0.37333333333333335,0.25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1
855,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1
856,1.0,0.7066666666666667,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
857,1.0,0.37333333333333335,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0
858,1.0,0.28,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
859,1.0,0.6733333333333333,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
860,1.0,0.12666666666666668,0.25,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1
861,1.0,0.15333333333333332,0.25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,-1,0,1
862,1.0,0.02,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
863,1.0,0.18,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,-1,0,1
864,1.0,0.06,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,-1,0,1
865,0.0,0.03333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
866,1.0,0.13333333333333333,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
867,1.0,0.13333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1
868,1.0,0.8933333333333333,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1
869,1.0,0.013333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
